,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 13:00:00+00:00,5.13543701171875,139.91069684709822,0.024165392755076676,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016725091,280.96343994140625,7.419980170388369,1.4800764322280884,374634.1705189424,645.9628295898438,0.2723511615046461,1.9732551840809707,332.29800363405843
2014-07-16 14:00:00+00:00,4.926025390625,140.35511779785156,0.024129246250385143,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016707433,281.5083312988281,7.1142749456397665,1.7648011445999146,391800.9467762691,645.9628295898438,0.24968878632970815,1.9732551840809707,331.8009535149445
2014-07-16 15:00:00+00:00,4.635101318359375,136.58051215277777,0.02392448032600275,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016447008,281.8843078613281,6.742404847976929,1.775443196296692,405194.348391554,521.4231567382812,0.22881543718925723,1.9732551840809707,328.9852199336951
2014-07-16 16:00:00+00:00,4.292388916015625,129.5677001953125,0.024196586358429365,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016862025,282.5339050292969,6.159470786427778,2.1345722675323486,415079.76249079045,412.42901611328125,0.20405428275974866,1.9732551840809707,332.72694647083785
2014-07-16 17:00:00+00:00,3.3896484375,120.4862393465909,0.024707468549244382,0.00014349916643441557,7.27220521664304e-05,9.81,-0.017576305,282.44903564453125,4.764916745971355,3.0888891220092773,488783.6457084074,318.6593933105469,0.134051761349595,1.9732551840809707,339.7520808777413
2014-07-16 18:00:00+00:00,2.213623046875,110.54407755533853,0.02494513356803876,0.00014349916643441557,7.27220521664304e-05,9.81,-0.017876795,281.8298645019531,3.0888714145552782,2.4848337173461914,686697.8480039728,412.42901611328125,0.061854032376090294,1.9732551840809707,343.02020948129694
2014-07-16 19:00:00+00:00,0.85614013671875,101.63759202223558,0.025267637407666004,0.00014349916643441557,7.27220521664304e-05,9.81,-0.018316405,281.43621826171875,1.1810526068774727,2.3023602962493896,1632463.1390553769,318.6593933105469,0.0099485487623802,1.9732551840809707,347.4549556142742
