,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 11:00:00+00:00,3.181060791015625,137.72284613715277,0.024309873403142376,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016849259,279.69482421875,4.589589561025401,1.3686944246292114,595343.8813976849,322.2776794433594,0.10600828990197593,1.9732551840809707,334.28475515937356
2014-07-16 12:00:00+00:00,3.292083740234375,163.3522705078125,0.02476286515602007,0.00014349916643441557,7.27220521664304e-05,9.81,-0.017493559,279.8629455566406,4.660082310221343,1.4507675170898438,682320.1166792199,416.07745361328125,0.09391593489298827,1.9732551840809707,340.5138389019636
2014-07-16 13:00:00+00:00,3.286773681640625,184.51829944957387,0.02519010105707042,0.00014349916643441557,7.27220521664304e-05,9.81,-0.018144257,280.5100402832031,4.563105268070883,1.5743646621704102,771975.4988020599,416.07745361328125,0.08128133820000748,1.9732551840809707,346.3887542587605
2014-07-16 14:00:00+00:00,2.944122314453125,200.65681966145831,0.024869590844250382,0.00014349916643441557,7.27220521664304e-05,9.81,-0.017704966,280.8192138671875,4.135513061077815,1.699567198753357,937199.2874627385,525.0343017578125,0.06067800887791196,1.9732551840809707,341.9814224622578
2014-07-16 15:00:00+00:00,2.41058349609375,210.29219876802884,0.025008823146745653,0.00014349916643441557,7.27220521664304e-05,9.81,-0.017916854,281.0245666503906,3.3647565255965213,1.7792917490005493,1199595.5807505292,525.0343017578125,0.03857026840032193,1.9732551840809707,343.8960040554261
2014-07-16 16:00:00+00:00,2.27362060546875,213.17131696428572,0.024746019964802156,0.00014349916643441557,7.27220521664304e-05,9.81,-0.01756426,281.376708984375,3.203269651739994,1.722326636314392,1289272.2818490807,416.07745361328125,0.034165102457423664,1.9732551840809707,340.282200895113
