KNMI STN land,a,b,c,d
209,0.7,-0.51,1.25,-0.17
210,0.66,-0.66,0.82,-0.43
215,0.65,-0.56,0.87,-0.35
225,0.69,-0.52,1.18,-0.14
240,0.68,0.06,1.0,-0.4
257,0.36,-0.72,0.91,-0.47
330,0.67,-0.54,0.91,-0.45
