KNMI STN land,a,b,c,d
209,0.59,-0.01,0.36,-0.86
210,0.61,0.21,0.47,-0.78
215,0.6,-0.09,0.41,-0.82
225,0.63,0.26,0.62,-0.68
240,0.62,0.44,0.54,-0.73
257,0.64,0.34,0.72,-0.6
330,0.62,0.29,0.58,-0.7
