KNMI STN land,a,b,c,d
209,0.7,-0.51,1.14,-0.16
210,0.6,-1.05,0.58,-0.44
215,0.63,-0.79,0.62,-0.33
225,1.52,1.07,1.89,0.28
240,2.22,-1.54,3.91,-1.2
257,0.67,-0.84,0.89,-0.68
330,0.55,-1.07,0.32,-0.55
