KNMI STN land,a,b,c,d
209,0.7,-0.51,1.14,-0.16
210,0.66,-0.66,0.86,-0.44
215,0.63,-0.56,0.6,-0.31
225,0.69,-0.52,1.18,-0.14
240,0.68,0.04,1.0,-0.4
257,0.17,-0.71,1.15,-0.36
330,0.65,-0.54,0.81,-0.44
