Simulation,a,b,c,d
Sim_1,0.08,-0.46,-2.3,0.45
Sim_2,0.07,-0.55,-2.3,0.45
Sim_3,0.09,-0.46,-2.28,0.45
Sim_4,8.24,0.28,-1.89,-0.13
