,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 09:00:00+00:00,0.46002197265625,5.4384304046630865,0.02347389722254535,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015675427,279.0731201171875,0.6888812696653598,2.8603830337524414,162565.68314609307,344224.35697020224,0.05827058489627451,1.9732551840809707,322.78925749817137
2014-07-16 10:00:00+00:00,-0.32586669921875,5.474209467569986,0.023808729092709726,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016105268,278.71771240234375,-0.48173500660943347,3.2322323322296143,-231001.76808316523,-486047.02416607743,0.028676541778665837,1.9732551840809707,327.3935262198252
2014-07-16 11:00:00+00:00,-0.099456787109375,5.140141078404018,0.02377254547280861,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016077863,279.0910949707031,-0.14705566740391926,3.448230504989624,-710680.6446192458,-1404333.3693995827,0.0028453857555909416,1.9732551840809707,326.8959657299437
2014-07-16 15:00:00+00:00,0.702728271484375,3.2175653631036933,0.023035209108613862,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015168278,280.427734375,1.067193843254344,3.2316017150878906,62961.32024649949,79989.03131608621,0.23307911422986172,1.9732551840809707,316.7568629099725
2014-07-16 16:00:00+00:00,0.518463134765625,2.7918640772501626,0.022846698747070945,0.00014349916643441557,7.27220521664304e-05,9.81,-0.014923766,280.4791259765625,0.7937118935971177,2.2669272422790527,74047.47664750314,82285.41975252742,0.1473962718344217,1.9732551840809707,314.1646593633579
2014-07-16 17:00:00+00:00,0.3482666015625,2.4158413226787863,0.023181386658567914,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015384904,280.8568420410156,0.5247547955704673,2.1182820796966553,95387.27708608472,90276.93238266982,0.0756484159747318,1.9732551840809707,318.7669485112357
