,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 09:00:00+00:00,-0.021209716796875,9.815114593505859,0.023504970216022436,0.00014349916643441557,7.27220521664304e-05,9.81,-0.01571068,278.9617004394531,-0.03173215669103546,3.139423131942749,-6363475.53752917,-24295610.800204527,6.857077931787292e-05,1.9732551840809707,323.21654183010924
2014-07-16 10:00:00+00:00,-0.755523681640625,9.68712043762207,0.023866318191571513,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016181197,278.68194580078125,-1.1143531074199933,3.3907628059387207,-176311.4396643389,-654972.8314271198,0.08691129296749955,1.9732551840809707,328.1854331744033
2014-07-16 11:00:00+00:00,-0.5179443359375,9.148442949567523,0.02385139598448542,0.00014349916643441557,7.27220521664304e-05,9.81,-0.01618333,279.0675354003906,-0.7633592559801755,3.610431671142578,-242883.47627673295,-851460.2736216924,0.043218021372597275,1.9732551840809707,327.9802380975105
2014-07-16 15:00:00+00:00,0.348876953125,6.351328763094815,0.023001269814398834,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015142433,280.7767028808594,0.5299420798455392,3.453977108001709,250337.65916546117,627943.0435582971,0.029109590299203528,1.9732551840809707,316.2901641136108
2014-07-16 16:00:00+00:00,0.2491455078125,5.714313507080078,0.023085013356203665,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015260156,280.91033935546875,0.3768983306694472,2.3111939430236816,315387.7905115769,708848.5266956046,0.016432862122803905,1.9732551840809707,317.4417204752654
2014-07-16 17:00:00+00:00,0.144195556640625,5.15866206242488,0.02327068556270046,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015516074,281.0816650390625,0.21626148947899346,2.0924127101898193,491947.8591388318,989593.4533664428,0.006044967760632067,1.9732551840809707,319.99489658850086
