,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 11:00:00+00:00,5.4678955078125,137.33428955078125,0.022995510002575725,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015106142,280.2441101074219,8.323570727285153,0.5479341149330139,345376.3955413404,18773033.43111493,0.3313987725683998,1.9732551840809707,316.2109610156299
2014-07-16 12:00:00+00:00,6.257232666015625,144.09104701450892,0.022273866764736906,0.00014349916643441557,7.27220521664304e-05,9.81,-0.014182508,280.4341125488281,9.8270881743218,0.5151953101158142,316656.61675871076,18631227.175771512,0.4267466883628834,1.9732551840809707,306.28765417347313
2014-07-16 14:00:00+00:00,6.812469482421875,141.57840983072916,0.020886170856691297,0.00014349916643441557,7.27220521664304e-05,9.81,-0.012490529,280.8873596191406,11.391543033187231,0.37723642587661743,285776.3825375272,17590358.79243877,0.5481382321221672,1.9732551840809707,287.2054656666121
2014-07-16 15:00:00+00:00,7.265289306640625,135.6054931640625,0.02040719704947528,0.00014349916643441557,7.27220521664304e-05,9.81,-0.011940226,281.26446533203125,12.41720053201327,1.0569361448287964,256660.03185825472,15466058.777855188,0.6652721223800431,1.9732551840809707,280.61910303042237
2014-07-16 17:00:00+00:00,6.49163818359375,116.47849527994791,0.020971040326557642,0.00014349916643441557,7.27220521664304e-05,9.81,-0.012645178,282.068115234375,10.765875209787412,0.9430129528045654,246731.90938245208,12391944.354767727,0.600009181297286,1.9732551840809707,288.3725046504971
2014-07-16 18:00:00+00:00,4.90234375,106.60142164963942,0.022830800190877104,0.00014349916643441557,7.27220521664304e-05,9.81,-0.015128782,284.7283630371094,7.398112026670991,2.5423378944396973,299015.0929641616,12506811.304898089,0.34022143133278787,1.9732551840809707,313.94603852249577
