,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 12:00:00+00:00,4.642822265625,132.77696010044642,0.02225580464071538,0.00014349916643441557,7.27220521664304e-05,9.81,-0.014149751,280.2406921386719,7.302584121651535,1.8279929161071777,393255.2570013182,21353305.63375689,0.25535002556885117,1.9732551840809707,306.0392821393591
2014-07-16 13:00:00+00:00,5.844329833984375,134.15750122070312,0.022333032545855648,0.00014349916643441557,7.27220521664304e-05,9.81,-0.014279363,280.8551940917969,9.140576054088402,1.312335729598999,315656.0493326064,17220322.230044983,0.39819272755259244,1.9732551840809707,307.1012420654008
2014-07-16 14:00:00+00:00,5.974212646484375,129.80589463975696,0.021726926062259365,0.00014349916643441557,7.27220521664304e-05,9.81,-0.013512825,280.81390380859375,9.60578342727809,0.7005730271339417,298777.30943458923,16213153.28338815,0.4420985117039385,1.9732551840809707,298.7666796384611
2014-07-16 16:00:00+00:00,5.7445068359375,117.04213645241477,0.024239411523738187,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016993184,283.726318359375,8.194077426480513,1.5061085224151611,280171.1186888293,12161475.397971228,0.40217083537052367,1.9732551840809707,333.3158347658328
2014-07-16 17:00:00+00:00,3.70440673828125,108.29365030924478,0.024192429773242766,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016881691,282.96063232421875,5.308626449367827,4.172004222869873,401992.73238537624,16220268.669409156,0.1815924713397297,1.9732551840809707,332.669789321627
2014-07-16 18:00:00+00:00,2.696044921875,99.01356858473558,0.02372635488536977,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016218118,282.6229553222656,3.9441886238924897,4.36094856262207,505011.7272220281,19019542.957094107,0.10739648981808173,1.9732551840809707,326.26079955870955
2014-07-16 19:00:00+00:00,1.4014892578125,90.7359619140625,0.023630925749046273,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016075822,282.4104309082031,2.0601427376210877,4.352127552032471,890273.7094139474,30873358.958238345,0.03182054673174643,1.9732551840809707,324.94855473777
