,ΔT,H,N,f,omega,g,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 14:00:00+00:00,6.228607177734375,165.36127387152777,0.022834347919298247,0.00014349916643441557,7.27220521664304e-05,9.81,-0.014918268,280.6791687011719,9.533692799654688,1.0202230215072632,365070.50070318085,24024486.316955812,0.3591023823895938,1.9732551840809707,313.9948232901894
2014-07-16 15:00:00+00:00,6.027557373046875,162.73173828125002,0.023838797641502405,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016299788,281.3729248046875,8.815434201058514,1.767470121383667,371248.5659827408,22972737.579062648,0.32652226281369545,1.9732551840809707,327.8069984458821
2014-07-16 16:00:00+00:00,4.953826904296875,156.9705144708807,0.024154189202604932,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016865252,283.58087158203125,7.09480458516116,2.723336696624756,435723.64529948204,25468429.69403733,0.223904686514996,1.9732551840809707,332.14394372873426
2014-07-16 17:00:00+00:00,3.52490234375,147.74034627278644,0.02399710004741542,0.00014349916643441557,7.27220521664304e-05,9.81,-0.016604586,282.8652038574219,5.09422130640019,3.8756558895111084,576349.4687612738,31995512.878527623,0.12154183386951221,1.9732551840809707,329.9838127848219
2014-07-16 18:00:00+00:00,2.805267333984375,136.57439716045673,0.02364518654413876,0.00014349916643441557,7.27220521664304e-05,9.81,-0.01611235,282.7108154296875,4.116784124237825,3.6986944675445557,669466.5953899067,34886338.58094563,0.08455962658375628,1.9732551840809707,325.1446547468821
